STATION,NAME,DATE,DAPR,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00414525,"JACKSONVILLE, TX US",1960-02-01,,,,0,0,0,,,
USC00414525,"JACKSONVILLE, TX US",1960-02-02,,,,0,0,0,,,
USC00414525,"JACKSONVILLE, TX US",1960-02-03,,,,1.5,0,0,63,44,46
USC00414525,"JACKSONVILLE, TX US",1960-02-04,,,,0,0,0,53,43,49
USC00414525,"JACKSONVILLE, TX US",1960-02-05,,,,0,0,0,49,40,46
USC00414525,"JACKSONVILLE, TX US",1960-02-06,,,,0,0,0,62,33,47
USC00414525,"JACKSONVILLE, TX US",1960-02-07,,,,0,0,0,64,38,55
USC00414525,"JACKSONVILLE, TX US",1960-02-08,,,,0,0,0,72,39,66
USC00414525,"JACKSONVILLE, TX US",1960-02-09,,,,0,0,0,82,59,75
USC00414525,"JACKSONVILLE, TX US",1960-02-10,,,,0,0,0,75,48,51
USC00414525,"JACKSONVILLE, TX US",1960-02-11,,,,0,0,0,53,32,46
USC00414525,"JACKSONVILLE, TX US",1960-02-12,,,,0,0,0,46,34,35
USC00414525,"JACKSONVILLE, TX US",1960-02-13,,,,0,0,0,47,26,31
USC00414525,"JACKSONVILLE, TX US",1960-02-14,,,,0,0,0,46,30,
USC00414525,"JACKSONVILLE, TX US",1960-02-15,,,,0,0,0,57,39,39
USC00414525,"JACKSONVILLE, TX US",1960-02-16,,,,0,0,0,61,28,55
USC00414525,"JACKSONVILLE, TX US",1960-02-17,,,,1.01,,0,55,34,34
USC00414525,"JACKSONVILLE, TX US",1960-02-18,,,,1.09,0,0,47,29,45
USC00414525,"JACKSONVILLE, TX US",1960-02-19,,,,0,0,0,56,34,49
USC00414525,"JACKSONVILLE, TX US",1960-02-20,,,,0,0,0,49,39,45
USC00414525,"JACKSONVILLE, TX US",1960-02-21,,,,0,0,0,46,32,39
USC00414525,"JACKSONVILLE, TX US",1960-02-22,,,,0,0,0,60,26,55
USC00414525,"JACKSONVILLE, TX US",1960-02-23,,,,0,0,0,55,35,35
USC00414525,"JACKSONVILLE, TX US",1960-02-24,,,,1.04,0.5,,35,26,26
USC00414525,"JACKSONVILLE, TX US",1960-02-25,,,,0,0,,33,19,30
USC00414525,"JACKSONVILLE, TX US",1960-02-26,,,,0,0,0,44,21,42
USC00414525,"JACKSONVILLE, TX US",1960-02-27,,,,0,0,0,51,34,47
USC00414525,"JACKSONVILLE, TX US",1960-02-28,,,,0,0,0,52,38,38
USC00414525,"JACKSONVILLE, TX US",1960-02-29,,,,0,0,0,42,38,41
USC00414525,"JACKSONVILLE, TX US",1960-03-01,,,,0.73,0,0,39,30,31
